"","Lost Mound","High Mesa","Big Pot","Bayless Ruin","Twin Hawks","AZ U:4:009 (ASM)","AZ U:8:589 (ASM)","AZ V:5:125 (ASM)","Bass Point Mound","Griffen Wash Complex","Indian Point Complex","Las Tortugas","Los Hermanos","Meddler Point Mound","Pinto Point Mound","Pyramid Point Complex","Schoolhouse Point Mesa Complex","Lovelady Ranch","AZ W:11:7","WS Ranch","Largo Canyon","Foote Canyon Pueblo","AZ W:8:4","Blue PO Site","AZ W:8:9","LA 5939","LA 9777","LA 105878","LA 105880","Slade","Greenwood","Danson Pueblo","Hooper Ranch Pueblo","Apache Creek Pueblo","LA 3274","LA 4987","LA 4989","Pueblo Carrejo","LA 6063","LA 8090","Higgins Flat","Hudson Ranch","LA 83287","LA 85442","3-Up","Babocomari Village","Aztec","Maddox Ranch","Animas River Ruin","Holmes Group","Flora Vista","Red Willow II","Lizard House","LA 6679","LA 6705","LA 6725","LA 6729","Skunk Springs","LA 7067","LA 7068","LA 7075","LA 7095","LA 7138","LA 7189","LA 7192","LA 7200","LA 7290","LA 7318","LA 7343","LA 7417","LA 7433","LA 7434","LA 7465","LA 7475","LA 7501","LA 7502","LA 7526","LA 7538","LA 7582","LA 7584","LA 7591","LA 7624","LA 7641","LA 7690","LA 7704","LA 7753","LA 7778","LA 7781","LA 7787","LA 7935","LA 7938","LA 7973","LA 8200","LA 8204","LA 8433","LA 8458","LA 8477","LA 8500","LA 8519","LA 8549","Shannon Bluff-Point","Fruitland Pueblo","Salmon II","LA 12758","West Water","LA 13114","LA 20266","LA 50078","LA 52606","Kello Blancett","LA 60009","LA 60020","Morris' Old Fort","LA 100068","LA 100069","LA 100082","Awat'ovi","Heshoda Yala:wa","Techado Spring","Jaralosa","Horse Camp Mill","Hinkson Ranch","Eagle Crag","Wide Reed Ruin","Hogay Ruin","Kinlichee","Cornfields","Dinwiddie","Lululongturqi","Abangkuyivi","Hubble Corner","Owens-Colvin","Rocky Point","Schoolhouse Point Mound","Roundy Ruin","Bean Patch","Garcia Ranch","Carter Ranch Pueblo","Broken K Pueblo","Hardscrabble Ruin","Houghton Site","Seven Springs","Malpais Spring","Chezhinchotah","Scribe S","Lower Deracho","Box S","LA 15560","LA 47563","Los Gigantes","Spier 81","LA 109857","LA 109993","Citadel/Nalakihu","Wupatki","Crack-in-Rock","Many Farms","Lukachukai GH","Antelope House","White House II","Salina Springs II","Boss Ranch","Old Caves","Elden Pueblo","Burned Pueblo","Turkey Hill Pueblo","Ridge Ruin","Tachini Point","Inscription House","Tower House","Batwoman House","Twin Caves Pueblo","Red House","NA 4157","Kinlani","Olla House","Double Wall Ruin","NA 5628","Hummingbird House","NA 8816","NA 8820","NA 8886","NA 8895","Organ Rock","Pueblo Grande","Burnt Corn GH","Pinon Ruin","AZ E:6:1","Ford House","Montezuma Well (E.Rim)","Montezuma Castle A & B","Honanki","Piglet","Zanardelli Site","Gibbon  Springs","Fitzmaurice Ruin","University Indian Ruins","Pueblo Blanco","Sunset Mesa","Pueblo Salado","White Rincon","Jackrabbit","Casa Grande","Las Colinas","Whiptail Ruin","Tanque Verde Village","Brady Wash","Mendoza Canyon","Escalante","Las Acequias","Dakota Wash","Hodges Ruin","Romero Ruin","Los Morteros","Casa Buena","Kuykendall","Curtis Ruin(Buena Vista)","Drip","Twin Towers","North Mesa","Juniper Terrace","Cosnino Caves","Two Kivas","Atsee Nitsaa","Tuzigoot","Roosevelt 9:13","Earven Flat Site","Danson 481","Rabid Ruin","San Xavier Bridge","Continental Site","Cerro Prieto--Santa Cruz","Omawovi","Paaqapa","LA 76368","LA 7085","LA 7791","LA 8532","Yuma Wash--Tucson","CS165","CS195","LZ1232","LZ1245","LZ1301","LZ1302","LZ1305","South Ruin","LZ1307","LZ1310","LA 47515","LA 47562","FSOP13","FSOP15","LA 15623","LA 15667","LA 15669","LA 15671","LA 15673","AZ Q:4:58 (ASM)","Forestdale Pueblo","Garden Canyon","Rillito Fan","LA 82683","LA 82762","LA 85954","LA 85796","LA 85989","LA 86013","LA 86027","LA 86037","LA 86054","LA 82726","LA 82740","LA 82741","LA 82693","LA 82747","LA 82763","LA 85977","LA 86042"
"LA 7690","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.21","0","0.167","0.167","0.167","0.167","0.188","0.822","0.777","0.751","0.824","0.724","0.881","0.881","0.607","0.873","0.762","0.792","0.569","0.667","0.45","0.708","0.595","0.53","0.63","0.665","0.542","0.653","0.608","0.814","0.752","0.542","0.464","0.833","0.803","0.648","0.62","1","0.485","0.833","0.408","0.394","0.667","0.776","0.688","0.595","0.81","0.539","0.627","0.667","0.526","0.566","0.607","0.896","0.425","0.309","0.169","0.294","0.298","0.167","0.167","0.167","0.167","0.167","0.265","0.26","0.167","0.18","0.013","0.167","0.167","0","0","0","0","0","0.028","0.094","0.04","0","0.015","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0","0.024","0","0","0","0","0","0","0","0","0","0","0.012","0.032","0.091","0.167","0.167","0.333","0.277","0.167","0","0.107","0.032","0","0.087","0.051","0.169","0.167","0.167","0.167","0.167","0.167","0.333","0.156","0.167","0.167","0.167","0.167","0.167","0.175","0.167","0.167","0.167","0","0.167","0.065","0.112","0.333","0.108","0.065","0.121","0","0","0","0.002","0","0","0","0","0","0","0","0.087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.262","0.034","0.124","0.115","0.06","0","0.051","0","0","0","0","0","0","0","0.05","0.16","0","0.729","0.711","0.713","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LA 7704","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.647","0","0.681","0.535","0.681","0.681","0.702","0.438","0.698","0.702","0.609","0.394","0.604","0.581","0.878","0.499","0.676","0.444","0.529","0.819","0.948","0.777","0.619","0.955","0.837","0.782","0.908","0.819","0.848","0.672","0.734","0.902","0.955","0.485","0.41","0.837","0.845","0.485","1","0.578","0.923","0.909","0.319","0.71","0.728","0.89","0.462","0.947","0.799","0.798","0.843","0.858","0.709","0.381","0.94","0.824","0.683","0.776","0.813","0.681","0.681","0.681","0.681","0.681","0.723","0.741","0.599","0.681","0.013","0.681","0","0","0","0","0","0","0","0.051","0.005","0","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.388","0.248","0","0","0","0","0","0","0","0.002","0","0","0","0","0","0.186","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0.112","0.223","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.739","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.639","0.775","0.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LA 7753","0","0","0","0","0","0","0.04","0","0.063","0.057","0.028","0","0","0.014","0.05","0.016","0.019","0.062","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.066","0.07","0.044","0.074","0.074","0.074","0.074","0.051","0.074","0.033","0.074","0","0.055","0.022","0.025","0.074","0.074","0","0.074","0","0.323","0.074","0.299","0.272","0.323","0.333","0.28","0.786","0.869","0.868","0.928","0.789","0.902","0.945","0.7","0.862","0.759","0.792","0.569","0.759","0.526","0.801","0.545","0.623","0.741","0.72","0.652","0.732","0.73","0.906","0.844","0.655","0.602","0.833","0.758","0.741","0.733","0.833","0.578","1","0.535","0.487","0.667","0.868","0.799","0.688","0.81","0.631","0.779","0.78","0.693","0.702","0.774","0.729","0.547","0.402","0.27","0.461","0.391","0.259","0.261","0.259","0.333","0.267","0.343","0.393","0.282","0.333","0.013","0.259","0","0.074","0.074","0.074","0.074","0.074","0.042","0.125","0.079","0.074","0.078","0","0","0","0.074","0.043","0.074","0.022","0.008","0.074","0.074","0.066","0.074","0.074","0.074","0.074","0.074","0","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0","0.002","0","0","0.02","0.333","0.322","0.022","0.074","0","0.028","0","0.031","0","0.003","0","0","0","0","0.074","0.186","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0.112","0.223","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0.074","0","0.335","0","0","0.06","0.019","0.074","0.001","0.045","0.014","0.074","0","0","0","0","0","0","0.074","0.808","0.803","0.787","0","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.057","0","0","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074","0.074"
"LA 7778","0","0","0","0","0","0","0.034","0","0.034","0.034","0.028","0","0","0.014","0.034","0.016","0.019","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.033","0.034","0","0.034","0.022","0.025","0.034","0.034","0","0.034","0","0.681","0.034","0.759","0.548","0.759","0.759","0.745","0.361","0.621","0.649","0.543","0.351","0.527","0.527","0.801","0.437","0.599","0.366","0.564","0.741","0.941","0.7","0.575","0.878","0.778","0.704","0.849","0.741","0.8","0.594","0.657","0.846","0.933","0.408","0.332","0.76","0.788","0.408","0.923","0.535","1","0.951","0.241","0.632","0.685","0.813","0.384","0.869","0.756","0.741","0.8","0.816","0.666","0.304","0.983","0.866","0.735","0.811","0.856","0.724","0.726","0.724","0.759","0.732","0.8","0.818","0.622","0.759","0.013","0.724","0","0.034","0.034","0.034","0.034","0.034","0.034","0.086","0.039","0.034","0.038","0","0","0","0.034","0.034","0.034","0.022","0.008","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0","0.002","0","0","0.02","0.422","0.283","0.022","0.034","0","0.028","0","0.031","0","0.003","0","0","0","0","0.034","0.186","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0.112","0.223","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0.034","0","0.8","0","0","0.034","0.019","0.034","0.001","0.034","0.014","0.034","0","0","0","0","0","0","0.034","0.562","0.697","0.377","0","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0","0","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034","0.034"
"LA 7781","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.652","0","0.727","0.535","0.727","0.727","0.748","0.347","0.607","0.61","0.558","0.302","0.513","0.49","0.786","0.408","0.584","0.352","0.521","0.727","0.927","0.686","0.561","0.864","0.746","0.729","0.834","0.741","0.757","0.58","0.642","0.811","0.885","0.394","0.318","0.746","0.753","0.394","0.909","0.487","0.951","1","0.227","0.618","0.636","0.799","0.416","0.855","0.707","0.706","0.768","0.767","0.617","0.29","0.94","0.87","0.731","0.776","0.859","0.727","0.727","0.727","0.727","0.727","0.769","0.787","0.599","0.727","0.013","0.727","0.045","0","0.001","0","0","0","0.045","0.063","0.05","0.045","0.049","0","0.045","0.045","0","0","0.003","0.001","0.001","0","0","0","0","0","0.021","0","0.045","0.045","0","0","0","0","0","0","0","0","0","0.045","0.045","0.045","0.045","0.045","0.433","0.294","0.045","0","0.045","0.045","0","0.045","0.045","0.048","0.045","0.045","0.045","0.045","0.045","0.231","0.045","0.045","0.045","0.045","0.045","0.045","0.053","0.045","0.045","0.036","0","0.045","0.045","0.157","0.269","0.045","0.045","0.045","0.033","0","0","0.022","0","0","0","0","0","0","0","0.033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.788","0.045","0.045","0.045","0.045","0","0.045","0","0","0","0","0","0","0","0.045","0.045","0","0.548","0.683","0.329","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LA 7787","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.009","0","0","0","0","0","0.021","0.844","0.61","0.584","0.658","0.64","0.643","0.663","0.441","0.686","0.5","0.812","0.235","0.5","0.267","0.542","0.286","0.364","0.463","0.46","0.375","0.473","0.441","0.647","0.585","0.375","0.297","0.833","0.864","0.481","0.453","0.667","0.319","0.667","0.241","0.227","1","0.609","0.47","0.429","0.714","0.372","0.46","0.5","0.359","0.399","0.441","0.75","0.259","0.142","0.002","0.128","0.131","0","0","0","0","0","0.042","0.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.549","0.544","0.611","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LA 7935","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4","0","0.391","0.391","0.391","0.391","0.412","0.729","0.989","0.967","0.9","0.684","0.895","0.872","0.832","0.79","0.857","0.734","0.529","0.891","0.658","0.933","0.619","0.755","0.854","0.851","0.766","0.864","0.832","0.962","0.976","0.766","0.688","0.776","0.7","0.872","0.844","0.776","0.71","0.868","0.632","0.618","0.609","1","0.861","0.82","0.752","0.763","0.851","0.891","0.75","0.79","0.831","0.672","0.65","0.533","0.393","0.519","0.522","0.391","0.391","0.391","0.391","0.391","0.433","0.451","0.391","0.391","0.013","0.391","0","0","0","0","0","0","0","0.051","0.005","0","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.388","0.248","0","0","0","0","0","0","0","0.002","0","0","0","0","0","0.186","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0.112","0.223","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.449","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.869","0.935","0.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LA 7938","0","0","0","0","0","0","0.04","0","0.063","0.057","0.028","0","0","0.014","0.05","0.016","0.019","0.062","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.066","0.069","0.044","0.069","0.069","0.069","0.069","0.051","0.069","0.033","0.069","0","0.055","0.022","0.025","0.069","0.069","0","0.069","0","0.508","0.069","0.449","0.422","0.472","0.478","0.43","0.626","0.85","0.878","0.772","0.623","0.807","0.807","0.85","0.705","0.879","0.595","0.65","0.879","0.692","0.879","0.67","0.773","0.891","0.908","0.802","0.893","0.88","0.823","0.879","0.805","0.752","0.637","0.607","0.879","0.883","0.688","0.728","0.799","0.685","0.636","0.47","0.861","1","0.838","0.613","0.781","0.929","0.9","0.837","0.852","0.9","0.584","0.696","0.551","0.42","0.606","0.54","0.409","0.411","0.409","0.478","0.417","0.545","0.572","0.432","0.491","0.013","0.409","0.051","0.069","0.069","0.069","0.069","0.069","0.07","0.163","0.11","0.069","0.084","0","0","0","0.069","0.043","0.069","0.022","0.008","0.069","0.07","0.066","0.069","0.069","0.069","0.069","0.093","0","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.012","0.034","0.051","0.051","0.072","0.508","0.369","0.073","0.069","0.051","0.06","0","0.082","0.051","0.055","0.051","0.051","0.051","0.051","0.121","0.237","0.051","0.051","0.051","0.051","0.051","0.051","0.059","0.051","0.051","0.051","0","0.051","0.051","0.112","0.275","0.051","0.051","0.051","0","0","0","0.003","0","0","0","0","0","0","0","0.051","0","0","0","0","0","0","0","0","0","0","0","0.008","0.069","0","0.522","0.034","0.051","0.112","0.071","0.069","0.052","0.045","0.014","0.069","0","0","0","0","0.05","0.051","0.069","0.805","0.879","0.641","0","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.057","0","0","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069","0.069"
"LA 7973","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.581","0","0.571","0.535","0.571","0.571","0.592","0.548","0.808","0.812","0.719","0.503","0.714","0.691","0.988","0.609","0.786","0.554","0.529","0.929","0.838","0.887","0.619","0.935","0.947","0.891","0.946","0.929","0.958","0.782","0.844","0.946","0.869","0.595","0.519","0.947","0.955","0.595","0.89","0.688","0.813","0.799","0.429","0.82","0.838","1","0.571","0.944","0.909","0.908","0.883","0.939","0.818","0.491","0.83","0.714","0.574","0.699","0.703","0.571","0.571","0.571","0.571","0.571","0.613","0.631","0.571","0.571","0.013","0.571","0","0","0","0","0","0","0","0.051","0.005","0","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.388","0.248","0","0","0","0","0","0","0","0.002","0","0","0","0","0","0.186","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0.112","0.223","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.629","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.749","0.884","0.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LA 8200","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.158","0","0.143","0.143","0.143","0.143","0.164","0.834","0.753","0.727","0.841","0.715","0.786","0.806","0.584","0.829","0.643","0.839","0.378","0.643","0.41","0.685","0.429","0.506","0.606","0.642","0.536","0.629","0.584","0.79","0.728","0.518","0.44","0.857","0.805","0.624","0.596","0.81","0.462","0.81","0.384","0.416","0.714","0.752","0.613","0.571","1","0.515","0.603","0.643","0.518","0.542","0.584","0.777","0.402","0.285","0.147","0.271","0.274","0.143","0.143","0.143","0.143","0.143","0.185","0.203","0.143","0.143","0.013","0.143","0.143","0","0.001","0","0","0","0.143","0.063","0.148","0.143","0.08","0","0.143","0.143","0","0","0.003","0.001","0.001","0","0","0","0","0","0.021","0","0.143","0.143","0","0","0","0","0","0","0","0","0","0.143","0.143","0.143","0.143","0.143","0.197","0.286","0.143","0","0.143","0.143","0","0.143","0.143","0.145","0.143","0.096","0.143","0.143","0.143","0.286","0.143","0.143","0.143","0.143","0.143","0.143","0.151","0.143","0.143","0.036","0","0.143","0.143","0.254","0.286","0.108","0.049","0.143","0.033","0","0","0.022","0","0","0","0","0","0","0","0.033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.204","0.143","0.143","0.143","0.143","0","0.143","0","0","0","0","0","0","0","0.143","0.143","0","0.691","0.687","0.713","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LA 8204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.637","0","0.628","0.535","0.628","0.628","0.649","0.492","0.752","0.755","0.663","0.447","0.658","0.635","0.931","0.553","0.729","0.497","0.529","0.872","0.895","0.83","0.619","0.992","0.891","0.835","0.961","0.872","0.902","0.725","0.787","0.955","0.925","0.539","0.463","0.891","0.898","0.539","0.947","0.631","0.869","0.855","0.372","0.763","0.781","0.944","0.515","1","0.852","0.851","0.883","0.912","0.762","0.435","0.887","0.77","0.63","0.756","0.759","0.628","0.628","0.628","0.628","0.628","0.67","0.688","0.599","0.628","0.013","0.628","0","0","0","0","0","0","0","0.051","0.005","0","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.388","0.248","0","0","0","0","0","0","0","0.002","0","0","0","0","0","0.186","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0.112","0.223","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.686","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.693","0.828","0.473","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LA 8433","0","0","0","0","0","0","0.04","0","0.06","0.057","0.028","0","0","0.014","0.05","0.016","0.019","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.044","0.06","0.06","0.06","0.06","0.051","0.06","0.033","0.06","0","0.055","0.022","0.025","0.06","0.06","0","0.06","0","0.544","0.06","0.52","0.493","0.54","0.54","0.501","0.579","0.84","0.867","0.762","0.595","0.746","0.746","0.921","0.656","0.817","0.585","0.589","0.94","0.747","0.918","0.619","0.844","0.959","0.923","0.873","0.94","0.951","0.813","0.875","0.876","0.822","0.627","0.551","0.94","0.954","0.627","0.799","0.779","0.756","0.707","0.46","0.851","0.929","0.909","0.603","0.852","1","0.96","0.899","0.923","0.891","0.522","0.767","0.622","0.491","0.668","0.611","0.48","0.482","0.48","0.54","0.488","0.564","0.6","0.503","0.54","0.013","0.48","0","0.06","0.06","0.06","0.06","0.06","0.042","0.111","0.065","0.06","0.064","0","0","0","0.06","0.043","0.06","0.022","0.008","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0","0.002","0","0","0.02","0.448","0.308","0.022","0.06","0","0.028","0","0.031","0","0.003","0","0","0","0","0.06","0.186","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0.112","0.223","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0.06","0","0.555","0","0","0.06","0.019","0.06","0.001","0.045","0.014","0.06","0","0","0","0","0","0","0.06","0.781","0.916","0.621","0","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.057","0","0","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06"
"LA 8458","0","0","0","0","0","0","0.021","0","0.021","0.021","0.021","0","0","0.014","0.021","0.016","0.019","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0","0.021","0.021","0.021","0.021","0.021","0","0.021","0","0.509","0.021","0.5","0.492","0.5","0.5","0.5","0.619","0.88","0.904","0.802","0.596","0.786","0.784","0.92","0.696","0.857","0.625","0.55","0.979","0.746","0.958","0.619","0.843","0.961","0.923","0.872","0.952","0.941","0.853","0.915","0.875","0.797","0.667","0.591","0.961","0.953","0.667","0.798","0.78","0.741","0.706","0.5","0.891","0.9","0.908","0.643","0.851","0.96","1","0.859","0.899","0.851","0.562","0.759","0.622","0.49","0.628","0.611","0.479","0.481","0.479","0.5","0.487","0.542","0.56","0.5","0.5","0.013","0.479","0","0.021","0.021","0.021","0.021","0.021","0.021","0.072","0.026","0.021","0.024","0","0","0","0.021","0.021","0.021","0.021","0.008","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0","0.002","0","0","0.02","0.409","0.269","0.021","0.021","0","0.021","0","0.021","0","0.003","0","0","0","0","0.021","0.186","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0.112","0.223","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0.021","0","0.555","0","0","0.021","0.019","0.021","0.001","0.021","0.014","0.021","0","0","0","0","0","0","0.021","0.821","0.956","0.622","0","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0","0","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021"
