"","Buzan","Ash Terrace","Lost Mound","Dudleyville Mound","Leaverton","Camp Village","High Mesa","Bayless Ruin","Flieger","Big Bell","111 Ranch","Davis Ranch Site","Jose Solas Ruin","Armer Gulch Ruin","AZ U:4:009 (ASM)","AZ U:8:589 (ASM)","AZ V:5:125 (ASM)","Bass Point Mound","Griffen Wash Complex","Indian Point Complex","Las Tortugas","Los Hermanos","Meddler Point Mound","Pinto Point Mound","Pyramid Point Complex","Saguaro Muerto","Schoolhouse Point Mesa Complex","Tonto Cliff Dwellings","Lovelady Ranch","AZ W:11:7","WS Ranch","Foote Canyon Pueblo","AZ W:8:4","Blue PO Site","AZ W:8:9","LA 5939","LA 9777","LA 11493","LA 105878","Rudd Creek Pueblo","Slade","Greenwood","Springerville Area Site R57-59","Casa Malpais","Danson Pueblo","Hooper Ranch Pueblo","LA 3279","LA 4987","LA 4989","Pueblo Carrejo","LA 6063","LA 8090","Higgins Flat","LA 8099","Hudson Ranch","LA 83287","LA 85442","LA 3262","Gila Cliff Dwellings","3-Up","Babocomari Village","Hereford","NA 5653","Aztec","Maddox Ranch","Pendleton","Animas River Ruin","Flora Vista","Red Willow II","Clanton Draw","LA 6679","LA 6705","LA 6725","LA 6729","Skunk Springs","LA 7059","LA 7068","LA 7072","LA 7075","LA 7077","LA 7081","LA 7095","LA 7098","LA 7183","LA 7329","LA 7434","LA 7437","LA 7438","LA 7526","LA 7547","To Dil Hil Dry Lake","LA 7582","LA 7641","LA 7704","LA 7935","LA 7938","LA 8240","LA 8476","LA 8477","Shannon Bluff-Point","Salmon II","LA 20266","LA 50078","Stewart Ranch","Hoskins","Double Adobe","Saddle Bronc","Kello Blancett","Morris' Old Fort","LA 100068","LA 100069","Kinishba","Awat'ovi","Heshoda Yala:wa","Archeotekopa II","Techado Spring","Jaralosa","Fort Site","Horse Camp Mill","Hinkson Ranch","Ojo Pueblo","Eagle Crag","Eighteen Mile Ruin","Wide Reed Ruin","Hogay Ruin","Togetzoge","Gila Pueblo","Chevelon","Dinwiddie","Hukovi","Old Shongopavi I","Lululongturqi","Pink Arrow","Hubble Corner","Owens-Colvin","Fischer site","Yuma Wash Site","Emigrant Springs","Rocky Point","Wide Ruins","Schoolhouse Point Mound","Cooper Forks Cliff Dwelling","Roundy Ruin","Shumway Ruin","Fourmile Ruin","Bailey Ruin","NA 4566","Pottery Hill--Silver Creek","Pinedale Ruin","Blue Springs Ruin","Tundastusa","Sherwood Ranch","Bean Patch","Garcia Ranch","Broken K Pueblo","Hardscrabble Ruin","Puerco Ruin","Wallace Tank Ruin","Seven Springs","Malpais Spring","Homol'ovi III","Cottonwood Creek","Homol'ovi I","Scribe S","Upper Nutria","Lower Deracho","Day Ranch","Halona:wa South","Atsinna","Cienega","Mirabal","Tinaja","North Atsinna","Yellowhouse","Big House","Naat'a'anii Bikin","Lookout Site","Pueblo de los Muertos","Jack's Lake","Box S","LA 15560","LA 47563","Los Gigantes","Spier 81","LA 109857","Wupatki","Many Farms","Antelope House","Three Turkey House","White House II","Salina Springs II","Boss Ranch","Old Caves","Burned Pueblo","Turkey Hill Pueblo","Tachini Point","Inscription House","Whirling Spring","Tower House","Swallow's Nest","Betatakin","Kiet Siel","Batwoman House","Twin Caves Pueblo","Nagashi Bikin","Red House","Scaffold House","Moqui Rock Pueblo","Kinlani","Double Wall Ruin","NA 5628","NA 5651","NA 5654","Hummingbird House","NA 8816","NA 8839","Fireside","Otherside","Organ Rock","Pueblo Grande","Burnt Corn GH","Porcupine Wash","Pinon Ruin","Thief Site","AZ E:6:1","Ford House","Chavez Pass Pueblo","Montezuma Well (E.Rim)","Jackson Ranch Ruin","Clear Creek Ruin","Honanki","Pollack Ruin","Zanardelli Site","Gibbon  Springs","Cherry Creek Mound","University Indian Ruins","Pueblo Blanco","Sunset Mesa","Pueblo Salado","White Rincon","Jackrabbit","Casa Grande","Las Colinas","Whiptail Ruin","Tanque Verde Village","Brady Wash","Mendoza Canyon","Escalante","Las Acequias","Dakota Wash","Hodges Ruin","Romero Ruin","Los Morteros","Casa Buena","Kuykendall","Kimble Ranch/Glass Ranch","Curtis Ruin(Buena Vista)","Fort Grant Pueblo","Drip","Twin Towers","Juniper Terrace","Two Kivas","Atsee Nitsaa","Tuzigoot","Roosevelt 9:13","Crescent Site","Rattlesnake Mesa","Earven Flat Site","AZ CC:2:185","Danson 481","Rabid Ruin","San Xavier Bridge","Continental Site","Cerro Prieto--Santa Cruz","Omawovi","Paaqapa","Pivanhonkyapi","LA 76368","LA 7085","LA 7791","LA 8532","Yuma Wash--Tucson","CS165","CS195","LZ1232","LZ1245","LZ1307","LA 47508","LA 47515","LA 47561","LA 47562","LA 2347","LA 47564","LA 47565","LA 47581","LA 47591","FSOP13","FSOP15","AZ Q:4:58 (ASM)","Garden Canyon","Rillito Fan","LA 82683","LA 82762","LA 85954","LA 85796","LA 85989","LA 86013","LA 86027","LA 86037","LA 86054","Chodistaas","Veteado Pueblo"
"NA 5653","0","0","0","0","0","0","0","0","0","0","0","0.082","0","0","0","0","0","0","0","0","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.008","0","0","0","0","0","0","0.05","0","0","0","0.009","0","0","0","0","0","0","0","0","0.007","0.016","0","0","0","0","0.014","0","0","0","0","0","0","0","0","0","0","0.002","0","0","0","0","0","0","0","0","0.006","0","0.078","0.075","0","0","0.001","0","0","0","0","0","0.637","0.404","0.024","0.634","0","0","0.263","0","0.729","0.431","0.61","0.509","0","0","0","0","0","0","0.13","0","0","0.001","0","0","0.002","0.065","0.001","0","0","0","0","0","0.002","0","0","0.089","0","0","0.63","0.266","0.434","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.694","0.746","0.129","0","0.288","0.647","0","0.688","0.279","0.825","0.798","0.868","0.794","0.763","0.89","0.9","0.732","0.913","0.941","0.936","0.776","0.802","0.752","0.738","0.723","0.783","0.788","0.886","0.861","0.9","0.926","0.915","0.878","0.965","0","0.318","0.855","0.638","0.798","0.61","0.562","0.249","0.61","0.61","0.695","0.747","0.815","0","0","0","0","0","0","0","0","0","0","0.032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.023","0.745","0.679","0.016","0.188","0","0","0","0","0","0","0","0","0","0","0.642","0.726","0.63","0","0.009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aztec","0.017","0.044","0.06","0","0.116","0","0.009","0.022","0.13","0.053","0.014","0.008","0","0.076","0.232","0.199","0.232","0.271","0.274","0.249","0.232","0.232","0.248","0.269","0.242","0.273","0.244","0.232","0.273","0.288","0.288","0.288","0.288","0.288","0.288","0.288","0.288","0.232","0.288","0.204","0.288","0.288","0.288","0.288","0.288","0.288","0.288","0.254","0.288","0.232","0.288","0.247","0.271","0.288","0.288","0.288","0.232","0.288","0.288","0.139","0","0","0.008","1","0.042","0.076","0.732","0.755","0.705","0.055","0.398","0.571","0.712","0.659","0.411","0.268","0.52","0.495","0.636","0.762","0.588","0.564","0.186","0.619","0.738","0.685","0.734","0.724","0.362","0.511","0.449","0.58","0.746","0.705","0.664","0.606","0.76","0.665","0.456","0.726","0.712","0.707","0.7","0.055","0.055","0.046","0.055","0.705","0.762","0.774","0.245","0.252","0.005","0.288","0.288","0.288","0.288","0.288","0.288","0.288","0.288","0.055","0.199","0.321","0.148","0","0.021","0.195","0","0.008","0","0","0.008","0.288","0.091","0.055","0.096","0.288","0.288","0.051","0.249","0.191","0.241","0.232","0.232","0.251","0.295","0.288","0.253","0","0.288","0.288","0.288","0.289","0.288","0.288","0.232","0.27","0.288","0.075","0.25","0.288","0.144","0.192","0.288","0.246","0.288","0.265","0.227","0.138","0.149","0.179","0.13","0.288","0.232","0.232","0.287","0.124","0.288","0.288","0.288","0.283","0.288","0.288","0.288","0.019","0.122","0.526","0.755","0.51","0.1","0.195","0.008","0","0.085","0.017","0.008","0.008","0.008","0.008","0.008","0.041","0.008","0.008","0.008","0.138","0.008","0.024","0.008","0.015","0.008","0.043","0.042","0.008","0.008","0.008","0.023","0.032","0.008","0","0.008","0.008","0.008","0.008","0.005","0.353","0.261","0","0.055","0.174","0.008","0.083","0","0.001","0.288","0","0","0","0","0.003","0","0","0.009","0.002","0","0.006","0","0","0","0","0","0","0","0","0.009","0","0.187","0.055","0","0.735","0.008","0.047","0.295","0.016","0.288","0","0","0.245","0","0.288","0","0","0","0","0.008","0.008","0.008","0.288","0.709","0.556","0.253","0.008","0.288","0.288","0.288","0.288","0.288","0.288","0.288","0.232","0.269","0.235","0.253","0.288","0.249","0.232","0.288","0.288","0.288","0","0","0.256","0.288","0.288","0.288","0.288","0.288","0.288","0.288","0.288","0.249","0.288"
"Maddox Ranch","0.017","0","0","0","0.042","0","0","0","0","0.011","0.011","0.012","0","0.037","0","0.02","0","0.05","0.046","0.026","0","0","0.026","0.043","0.02","0.041","0.023","0","0.041","0.042","0.048","0.043","0.042","0.042","0.042","0.042","0.042","0","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.022","0.042","0","0.042","0.015","0.039","0.042","0.042","0.042","0","0.042","0.046","0.137","0.022","0.021","0","0.042","1","0.593","0.032","0.042","0.042","0.736","0","0","0.042","0.029","0.042","0","0.042","0","0","0.03","0","0.042","0","0.039","0.042","0","0.014","0.02","0","0.042","0.032","0.042","0.041","0","0","0.042","0.042","0","0.042","0.021","0.011","0.007","0","0.471","0.379","0.824","0.829","0.005","0.037","0.042","0","0.019","0","0.042","0.042","0.044","0.042","0.066","0.042","0.042","0.042","0.033","0","0.042","0.042","0.122","0.032","0.042","0.374","0","0","0","0","0.045","0.031","0.053","0.053","0.042","0.042","0.042","0.027","0.042","0.009","0","0","0.017","0.042","0.042","0.021","0","0.042","0.042","0.042","0.042","0.042","0.042","0","0.042","0.042","0.042","0.026","0.042","0","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0","0","0.042","0.042","0.042","0.042","0.042","0.042","0.043","0.042","0.042","0.012","0","0.042","0.042","0.042","0.028","0.394","0","0","0.042","0.001","0","0","0","0","0","0","0","0","0","0.042","0","0","0","0","0","0.036","0.034","0","0","0","0","0","0","0.011","0","0","0","0","0","0","0.042","0","0.042","0.042","0","0.015","0.007","0","0.042","0","0.011","0","0.011","0.009","0","0.011","0.011","0.001","0","0.011","0.003","0.011","0.011","0","0.011","0","0.002","0.011","0.43","0.61","0.053","0.042","0.011","0.014","0","0.038","0.042","0.002","0.042","0.011","0","0.024","0.011","0.042","0","0","0.001","0","0","0","0","0.042","0","0","0.042","0.001","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0","0.037","0.003","0.021","0.042","0.016","0","0.042","0.06","0.042","0.003","0","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.016","0.066"
"Pendleton","0.061","0.065","0.062","0","0.302","0.044","0.054","0.065","0.065","0.068","0.062","0.056","0.04","0.059","0.029","0.049","0.029","0.075","0.084","0.067","0.036","0.021","0.055","0.079","0.051","0.073","0.049","0.021","0.062","0.154","0.152","0.37","0.137","0.131","0.373","0.155","0.129","0.029","0.083","0.366","0.301","0.372","0.148","0.289","0.366","0.279","0.107","0.043","0.365","0.021","0.113","0.036","0.067","0.116","0.156","0.098","0.021","0.197","0.09","0.242","0.066","0.026","0","0.076","0.593","1","0.032","0.061","0.344","0.713","0.021","0.021","0.082","0.049","0.36","0","0.093","0","0.021","0.051","0","0.119","0","0.06","0.048","0","0.029","0.02","0","0.092","0.032","0.227","0.041","0","0.021","0.221","0.087","0","0.256","0.021","0.011","0.007","0","0.346","0.346","0.592","0.718","0.005","0.058","0.07","0.021","0.058","0","0.365","0.366","0.369","0.365","0.392","0.227","0.285","0.365","0.048","0.021","0.366","0.191","0.123","0.024","0.097","0.25","0","0","0","0","0.368","0.052","0.365","0.377","0.245","0.365","0.044","0.056","0.366","0.037","0.029","0.029","0.047","0.159","0.087","0.049","0.009","0.297","0.234","0.215","0.365","0.335","0.365","0.021","0.207","0.366","0.344","0.048","0.154","0.021","0.365","0.365","0.365","0.366","0.366","0.366","0.365","0.366","0.366","0.366","0.365","0.021","0.021","0.366","0.366","0.365","0.365","0.185","0.072","0.365","0.365","0.365","0.012","0.021","0.347","0.087","0.261","0.048","0.609","0","0","0.065","0.005","0","0","0","0","0","0","0","0","0","0.146","0","0","0","0.008","0","0.036","0.034","0","0","0","0","0","0","0.003","0","0","0","0","0","0","0.187","0","0.09","0.106","0","0.037","0.039","0.036","0.366","0.039","0.003","0.035","0.039","0.042","0.035","0.01","0.04","0.038","0.035","0.044","0.039","0.003","0.003","0.035","0.04","0.044","0.038","0.003","0.304","0.352","0.291","0.293","0.014","0.023","0","0.045","0.121","0.009","0.165","0.021","0.017","0.045","0.013","0.341","0.036","0.036","0.036","0.035","0","0","0","0.138","0.021","0","0.361","0.044","0.365","0.365","0.365","0.365","0.365","0.365","0.365","0.021","0.058","0.023","0.042","0.081","0.037","0.021","0.365","0.383","0.315","0.038","0.035","0.365","0.365","0.259","0.365","0.365","0.334","0.286","0.303","0.365","0.045","0.392"
"Animas River Ruin","0.017","0","0","0","0.032","0","0","0","0","0","0","0","0","0.032","0","0.02","0","0.032","0.032","0.017","0","0","0.016","0.032","0.009","0.032","0.012","0","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.022","0.032","0","0.032","0.015","0.032","0.032","0.032","0.032","0","0.032","0.032","0.032","0","0","0","0.732","0.032","0.032","1","0.971","0.682","0.032","0.304","0.544","0.669","0.536","0.202","0.263","0.399","0.49","0.454","0.667","0.583","0.499","0.182","0.575","0.709","0.681","0.754","0.863","0.358","0.446","0.444","0.553","0.747","0.879","0.59","0.578","0.815","0.66","0.401","0.759","0.979","0.975","0.968","0.032","0.032","0.032","0.032","0.973","0.524","0.956","0.013","0.019","0","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0","0.057","0.041","0","0.021","0.032","0","0","0","0","0","0.032","0.02","0.032","0.032","0.032","0.032","0.032","0.017","0.032","0.009","0","0","0.017","0.032","0.032","0.021","0","0.032","0.032","0.032","0.032","0.032","0.032","0","0.032","0.032","0.032","0.026","0.032","0","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0","0","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.012","0","0.493","0.902","0.298","0.028","0.032","0","0","0.032","0.005","0","0","0","0","0","0.033","0","0","0","0.032","0","0.016","0","0","0","0.032","0.032","0","0","0","0.015","0.024","0","0","0","0","0","0","0","0.346","0.032","0","0.032","0.032","0","0.015","0","0","0.032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.009","0","0.032","0.032","0","0.914","0","0.032","0.032","0.002","0.032","0","0","0.013","0","0.032","0","0","0","0","0","0","0","0.032","0.564","0.551","0.124","0","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0","0.032","0.003","0.021","0.032","0.016","0","0.032","0.032","0.032","0","0","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.016","0.032"
"Flora Vista","0.017","0","0","0","0.061","0","0","0","0","0","0","0","0","0.037","0","0.02","0","0.039","0.041","0.017","0","0","0.016","0.037","0.009","0.041","0.012","0","0.041","0.061","0.061","0.061","0.061","0.061","0.061","0.061","0.061","0","0.061","0.061","0.061","0.061","0.061","0.061","0.061","0.061","0.061","0.022","0.061","0","0.061","0.015","0.039","0.061","0.061","0.061","0","0.061","0.056","0.061","0","0","0","0.755","0.042","0.061","0.971","1","0.71","0.061","0.304","0.544","0.698","0.536","0.23","0.263","0.428","0.49","0.454","0.667","0.583","0.527","0.182","0.582","0.726","0.681","0.754","0.863","0.358","0.475","0.444","0.581","0.756","0.879","0.59","0.607","0.843","0.66","0.429","0.759","0.95","0.946","0.939","0.059","0.061","0.046","0.061","0.944","0.529","0.981","0.013","0.019","0","0.061","0.061","0.061","0.061","0.061","0.061","0.061","0.061","0.033","0","0.086","0.07","0","0.021","0.061","0","0","0","0","0","0.061","0.02","0.061","0.061","0.061","0.061","0.043","0.017","0.061","0.009","0","0","0.017","0.061","0.057","0.021","0","0.061","0.061","0.061","0.061","0.061","0.061","0","0.061","0.061","0.061","0.026","0.061","0","0.061","0.061","0.061","0.061","0.061","0.061","0.061","0.061","0.061","0.061","0.061","0","0","0.061","0.061","0.061","0.061","0.061","0.051","0.061","0.061","0.061","0.012","0","0.521","0.93","0.327","0.028","0.061","0","0","0.045","0.005","0","0","0","0","0","0.033","0","0","0","0.061","0","0.016","0","0","0","0.036","0.034","0","0","0","0.015","0.024","0","0","0","0","0","0","0","0.346","0.061","0","0.061","0.061","0","0.015","0","0","0.061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.009","0","0.061","0.061","0","0.914","0","0.038","0.061","0.002","0.061","0","0","0.013","0","0.061","0","0","0","0","0","0","0","0.061","0.564","0.551","0.153","0","0.061","0.061","0.061","0.061","0.061","0.061","0.061","0","0.037","0.003","0.021","0.06","0.016","0","0.061","0.061","0.061","0","0","0.061","0.061","0.061","0.061","0.061","0.061","0.061","0.061","0.061","0.016","0.061"
"Red Willow II","0.017","0","0","0","0.273","0","0","0","0","0","0","0","0","0.037","0","0.02","0","0.039","0.041","0.017","0","0","0.016","0.037","0.009","0.041","0.012","0","0.041","0.134","0.117","0.34","0.116","0.102","0.35","0.135","0.108","0","0.062","0.35","0.281","0.35","0.128","0.265","0.35","0.249","0.078","0.022","0.35","0","0.085","0.015","0.039","0.095","0.127","0.078","0","0.176","0.056","0.09","0","0","0","0.705","0.042","0.344","0.682","0.71","1","0.286","0.304","0.544","0.704","0.536","0.509","0.263","0.439","0.49","0.454","0.667","0.583","0.565","0.182","0.582","0.698","0.65","0.664","0.669","0.358","0.486","0.444","0.747","0.691","0.65","0.59","0.767","0.737","0.65","0.604","0.671","0.661","0.657","0.65","0.059","0.111","0.046","0.205","0.655","0.529","0.707","0.013","0.019","0","0.35","0.35","0.35","0.35","0.35","0.206","0.264","0.35","0.033","0","0.376","0.18","0","0.021","0.075","0","0","0","0","0","0.35","0.02","0.35","0.35","0.224","0.35","0.043","0.017","0.35","0.009","0","0","0.017","0.13","0.057","0.021","0","0.268","0.213","0.195","0.35","0.306","0.35","0","0.186","0.347","0.332","0.026","0.134","0","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0","0","0.35","0.35","0.35","0.35","0.165","0.051","0.35","0.35","0.35","0.012","0","0.811","0.737","0.506","0.028","0.212","0","0","0.045","0.005","0","0","0","0","0","0.033","0","0","0","0.125","0","0.016","0","0","0","0.036","0.034","0","0","0","0.015","0.024","0","0","0","0","0","0","0","0.346","0.166","0","0.09","0.085","0","0.015","0","0","0.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.009","0","0.249","0.283","0","0.664","0","0.038","0.101","0.002","0.101","0","0","0.013","0","0.321","0","0","0","0","0","0","0","0.117","0.564","0.551","0.432","0","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0","0.037","0.003","0.021","0.06","0.016","0","0.35","0.35","0.295","0","0","0.35","0.35","0.239","0.35","0.35","0.314","0.265","0.283","0.35","0.016","0.35"
"Clanton Draw","0.017","0","0","0","0.273","0","0","0","0","0","0","0.008","0","0.037","0","0.02","0","0.039","0.041","0.017","0","0","0.016","0.037","0.009","0.041","0.012","0","0.041","0.134","0.122","0.286","0.116","0.102","0.286","0.135","0.108","0","0.062","0.286","0.281","0.286","0.128","0.265","0.286","0.249","0.078","0.022","0.286","0","0.085","0.015","0.039","0.095","0.127","0.078","0","0.176","0.061","0.175","0.022","0.021","0","0.055","0.736","0.713","0.032","0.061","0.286","1","0","0","0.067","0.029","0.286","0","0.072","0","0","0.03","0","0.098","0","0.039","0.048","0","0.014","0.02","0","0.071","0.032","0.227","0.041","0","0","0.221","0.087","0","0.235","0.021","0.011","0.007","0","0.234","0.195","0.76","0.901","0.005","0.037","0.057","0","0.019","0","0.286","0.286","0.287","0.286","0.299","0.206","0.264","0.286","0.033","0","0.286","0.171","0.122","0.021","0.075","0.132","0","0","0","0","0.288","0.02","0.286","0.286","0.224","0.286","0.043","0.017","0.286","0.009","0","0","0.017","0.13","0.057","0.021","0","0.268","0.213","0.195","0.286","0.286","0.286","0","0.186","0.286","0.286","0.026","0.134","0","0.286","0.286","0.286","0.286","0.286","0.286","0.286","0.286","0.286","0.286","0.286","0","0","0.286","0.286","0.286","0.286","0.165","0.051","0.286","0.286","0.286","0.012","0","0.286","0.087","0.24","0.028","0.564","0","0","0.045","0.001","0","0","0","0","0","0","0","0","0","0.125","0","0","0","0","0","0.036","0.034","0","0","0","0","0","0","0","0","0","0","0","0","0","0.166","0","0.09","0.085","0","0.015","0","0","0.286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.188","0.63","0.249","0.283","0","0.014","0","0.038","0.101","0.002","0.101","0","0","0.013","0","0.286","0","0","0","0","0","0","0","0.117","0","0","0.286","0","0.286","0.286","0.286","0.286","0.286","0.286","0.286","0","0.037","0.003","0.021","0.06","0.016","0","0.286","0.299","0.286","0.003","0","0.286","0.286","0.239","0.286","0.286","0.286","0.265","0.283","0.286","0.016","0.299"
"LA 6679","0","0.044","0.06","0","0.06","0","0.009","0.022","0.082","0.053","0.014","0.05","0","0.039","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0","0","0.05","0.398","0","0.021","0.304","0.304","0.304","0","1","0.76","0.6","0.731","0.568","0.827","0.853","0.813","0.754","0.628","0.721","0.739","0.746","0.722","0.578","0.623","0.55","0.441","0.868","0.818","0.859","0.557","0.548","0.425","0.714","0.537","0.434","0.644","0.7","0.545","0.305","0.304","0.304","0","0","0","0","0.304","0.386","0.323","0.095","0.082","0.005","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.062","0.082","0.123","0.109","0","0","0.132","0","0.05","0","0","0.05","0.082","0.071","0","0.04","0.082","0.082","0.05","0.082","0.082","0.082","0.082","0.082","0.083","0.132","0.082","0.082","0","0.082","0.082","0.082","0.083","0.082","0.082","0.082","0.082","0.082","0.032","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.075","0.082","0.082","0.082","0.082","0.069","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.05","0.132","0.356","0.304","0.398","0.115","0.082","0.05","0","0.083","0.058","0.05","0.05","0.05","0.05","0.05","0.083","0.05","0.05","0.05","0.125","0.05","0.066","0.05","0.058","0.05","0.05","0.05","0.05","0.05","0.05","0.065","0.074","0.05","0","0.05","0.05","0.028","0.05","0.111","0.354","0.132","0","0","0.132","0.05","0.11","0","0.001","0.082","0","0","0","0","0.003","0","0","0.016","0.002","0","0.006","0","0","0","0","0","0","0","0","0","0","0.082","0","0","0.387","0.05","0.052","0.097","0.045","0.082","0","0","0.082","0","0.082","0","0","0","0","0.033","0.05","0.02","0.082","0.689","0.753","0.405","0.008","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0","0","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082","0.082"
"LA 6705","0","0.022","0.022","0","0.022","0","0.009","0.022","0.022","0.022","0.014","0","0","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0","0","0","0.571","0","0.021","0.544","0.544","0.544","0","0.76","1","0.84","0.874","0.499","0.697","0.822","0.924","0.844","0.809","0.961","0.886","0.616","0.95","0.802","0.864","0.791","0.682","0.791","0.87","0.846","0.773","0.788","0.665","0.907","0.777","0.675","0.884","0.759","0.786","0.545","0.544","0.544","0","0","0","0","0.544","0.514","0.557","0.035","0.022","0","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.014","0.022","0.047","0.031","0","0","0.022","0","0","0","0","0","0.022","0.022","0","0.022","0.022","0.022","0","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.012","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0","0.022","0.463","0.544","0.288","0.022","0.022","0","0","0.022","0.008","0","0","0","0","0","0.033","0","0","0","0.022","0","0.016","0","0.008","0","0","0","0","0","0","0.015","0.024","0","0","0","0","0","0","0.111","0.346","0.022","0","0","0.022","0","0.022","0","0.001","0.022","0","0","0","0","0.003","0","0","0.001","0.002","0","0.006","0","0","0","0","0","0","0","0","0","0","0.022","0","0","0.607","0","0.002","0.022","0.006","0.022","0","0","0.022","0","0.022","0","0","0","0","0","0","0","0.022","0.86","0.978","0.345","0.008","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0","0","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022","0.022"
